session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level
S053604,U1206,S091,2024-04-27,3,14.2,Gaming Console,4K
S053605,U1206,M183,2024-02-01,10,12.3,Smart TV,SD
S053620,U1206,M175,2024-08-17,19,14.4,Tablet,4K
S053630,U1207,M070,2024-07-07,30,18.0,Mobile,HD
S053651,U1208,S007,2024-07-05,10,18.1,Mobile,HD
S053654,U1208,S096,2024-08-31,11,18.5,Tablet,4K
S053661,U1208,M198,2024-04-30,19,20.5,Mobile,SD
S053663,U1208,M117,2024-03-31,28,16.8,Smart TV,HD
S053667,U1208,S036,2024-07-06,6,19.9,Mobile,SD
S053674,U1208,M001,2024-08-30,38,21.7,Smart TV,4K
S053679,U1209,M058,2024-04-07,32,19.0,Smart TV,4K
S053686,U1209,S084,2024-05-13,6,12.7,Smart TV,4K
S053693,U1209,M072,2024-03-06,13,11.2,Mobile,SD
S053697,U1209,S053,2024-02-05,5,13.3,Smart TV,4K
S053700,U1209,M047,2024-05-13,12,10.8,Smart TV,4K
S053708,U1209,M006,2024-05-25,26,16.9,Smart TV,HD
S053711,U1209,M143,2024-04-12,32,21.6,Mobile,HD
S053721,U1209,M114,2024-08-28,24,16.1,Desktop,HD
S053811,U1212,M135,2024-06-11,34,20.3,Smart TV,HD
S053832,U1212,S013,2024-03-04,10,20.1,Mobile,SD
S053850,U1212,M143,2024-08-19,24,16.4,Mobile,HD
S053987,U1216,M102,2024-04-13,31,21.4,Smart TV,SD
S053988,U1216,M002,2024-02-21,23,15.9,Mobile,HD
S054000,U1217,S008,2024-03-15,3,10.8,Desktop,HD
S054006,U1217,S058,2024-06-11,11,20.8,Gaming Console,SD
S054024,U1217,M106,2024-05-24,19,20.9,Tablet,HD
S054032,U1217,S060,2024-07-13,6,14.8,Mobile,HD
S054035,U1217,M037,2024-02-14,10,11.3,Tablet,SD
S054049,U1217,M199,2024-07-13,34,20.0,Mobile,HD
S054071,U1218,S039,2024-08-14,8,16.3,Smart TV,HD
S054076,U1218,S066,2024-03-08,7,20.3,Smart TV,4K
S054080,U1219,M042,2024-04-16,21,12.9,Smart TV,SD
S054154,U1220,S033,2024-04-27,4,16.2,Mobile,HD
S054157,U1220,S091,2024-06-06,5,20.5,Smart TV,SD
S054171,U1220,M127,2024-04-16,25,14.2,Smart TV,SD
S054172,U1220,M151,2024-08-29,20,14.2,Mobile,HD
S054174,U1220,M136,2024-06-07,14,14.6,Gaming Console,HD
S054179,U1220,S094,2024-08-28,5,11.8,Smart TV,HD
S054194,U1221,M046,2024-02-14,20,13.9,Gaming Console,4K
S054230,U1222,M181,2024-08-21,26,21.3,Mobile,SD
S054236,U1222,S070,2024-02-04,9,17.6,Mobile,SD
S054241,U1222,M144,2024-03-09,23,20.9,Mobile,HD
S054246,U1222,S006,2024-02-05,3,11.6,Tablet,HD
S054304,U1224,S100,2024-02-15,7,18.4,Smart TV,SD
S054318,U1224,M115,2024-08-08,10,13.2,Smart TV,4K
S054377,U1225,S029,2024-08-07,6,15.3,Smart TV,HD
S054384,U1225,M186,2024-01-24,24,16.1,Smart TV,HD
S054415,U1226,S063,2024-06-01,8,17.5,Desktop,HD
S054423,U1226,M059,2024-08-25,31,21.2,Desktop,HD
S054426,U1227,M114,2024-03-04,32,21.2,Tablet,HD
S054431,U1227,M168,2024-03-19,20,14.7,Gaming Console,HD
S054432,U1227,M181,2024-08-19,19,15.5,Tablet,HD
S054484,U1228,M156,2024-03-18,22,12.7,Tablet,4K
S054485,U1228,M086,2024-08-12,15,12.3,Smart TV,HD
S054495,U1228,M002,2024-06-14,31,21.7,Tablet,SD
S054500,U1228,M084,2024-02-18,23,16.9,Smart TV,HD
S054556,U1230,M074,2024-06-23,19,13.0,Smart TV,HD
S054560,U1230,S046,2024-05-13,4,21.4,Smart TV,HD
S054617,U1230,S099,2024-03-05,6,17.1,Tablet,SD
S054622,U1230,M197,2024-02-13,24,15.7,Smart TV,SD
S054627,U1230,M006,2024-01-09,24,15.8,Mobile,SD
S054656,U1232,M196,2024-05-23,12,12.1,Tablet,4K
S054702,U1232,S022,2024-08-08,4,13.5,Gaming Console,HD
S054718,U1232,S055,2024-01-22,10,18.0,Smart TV,SD
S054741,U1233,M073,2024-08-28,14,10.1,Tablet,HD
S054902,U1237,M196,2024-07-03,16,16.4,Mobile,HD
S054908,U1237,M018,2024-01-02,9,11.1,Mobile,HD
S054924,U1237,S096,2024-07-31,8,14.8,Mobile,SD
S054949,U1238,M183,2024-02-23,12,13.8,Mobile,SD
S055097,U1240,M115,2024-07-08,14,17.7,Tablet,HD
S055360,U1245,M104,2024-01-26,15,14.1,Mobile,SD
S055375,U1245,M011,2024-08-12,16,20.5,Smart TV,HD
S055383,U1245,M089,2024-08-27,23,21.7,Smart TV,HD
S055401,U1246,S017,2024-02-12,8,21.6,Smart TV,4K
S055585,U1249,S009,2024-08-19,5,15.6,Tablet,4K
S055592,U1249,M004,2024-05-29,29,20.4,Mobile,HD
S055835,U1253,S032,2024-05-28,5,14.5,Mobile,HD
S055857,U1253,S060,2024-08-30,6,15.2,Smart TV,4K
S055871,U1253,M199,2024-06-20,28,16.0,Mobile,SD
S055872,U1253,S066,2024-04-25,7,21.6,Mobile,SD
S055879,U1253,M161,2024-05-11,17,16.8,Mobile,HD
S055944,U1255,M127,2024-02-02,19,10.6,Mobile,SD
S055946,U1255,M062,2024-02-20,28,20.7,Desktop,4K
S055992,U1257,M169,2024-07-18,32,20.5,Smart TV,HD
S055993,U1257,M019,2024-04-10,13,15.8,Mobile,HD
S056001,U1257,M012,2024-03-13,21,20.5,Desktop,HD
S056003,U1257,S016,2024-04-03,8,15.8,Gaming Console,HD
S056022,U1257,S053,2024-02-23,6,16.0,Mobile,HD
S056037,U1257,M055,2024-07-25,25,18.0,Mobile,HD
S056046,U1257,M154,2024-08-06,11,14.4,Mobile,HD
S056047,U1257,S062,2024-04-10,8,15.7,Mobile,HD
S056073,U1258,M036,2024-06-12,20,20.7,Mobile,HD
S056078,U1258,M114,2024-01-25,31,20.5,Smart TV,SD
S056089,U1259,M144,2024-04-15,18,16.9,Mobile,HD
S056097,U1259,S087,2024-08-08,5,10.8,Smart TV,4K
S056104,U1259,M013,2024-07-15,19,11.0,Tablet,4K
S056124,U1259,S004,2024-02-06,9,15.9,Tablet,SD
S056150,U1260,S044,2024-06-18,4,10.7,Mobile,SD
S056179,U1260,M084,2024-07-31,14,10.2,Smart TV,SD
S056277,U1263,S053,2024-04-04,6,14.9,Gaming Console,4K
S056294,U1263,M070,2024-08-07,29,17.0,Mobile,SD
S056518,U1267,M047,2024-05-28,19,16.2,Gaming Console,4K
S056535,U1268,M026,2024-05-14,35,21.6,Smart TV,4K
S056545,U1268,M110,2024-02-26,13,10.6,Tablet,HD
S056546,U1268,S068,2024-08-07,2,11.6,Smart TV,HD
S056561,U1268,M067,2024-05-21,24,19.2,Smart TV,4K
S056607,U1269,S036,2024-02-27,6,18.2,Desktop,SD
S056640,U1271,M098,2024-04-06,28,20.0,Mobile,HD
S056649,U1271,S097,2024-03-22,6,16.3,Smart TV,SD
S056763,U1274,M015,2024-05-13,23,13.3,Desktop,HD
S057063,U1279,M196,2024-04-14,16,16.5,Gaming Console,HD
S057064,U1279,S036,2024-03-20,4,12.8,Mobile,HD
S057107,U1280,S022,2024-05-23,7,19.6,Smart TV,SD
S057118,U1280,M111,2024-06-12,15,15.6,Tablet,HD
S057122,U1280,M197,2024-07-17,29,19.1,Mobile,HD
S057145,U1280,S027,2024-01-08,6,12.7,Smart TV,SD
S057150,U1280,M174,2024-02-10,15,18.6,Smart TV,4K
S057154,U1280,M108,2024-02-07,11,10.3,Mobile,4K
S057194,U1282,M131,2024-03-09,35,19.9,Desktop,HD
S057329,U1286,M180,2024-04-20,25,15.7,Mobile,SD
S057359,U1286,M050,2024-07-29,9,10.3,Mobile,HD
S057395,U1288,M174,2024-02-04,12,14.9,Tablet,HD
S057417,U1288,M087,2024-07-17,27,19.6,Desktop,SD
S057430,U1289,M127,2024-03-12,22,12.5,Tablet,HD
S057431,U1289,M135,2024-05-09,37,21.6,Tablet,4K
S057436,U1289,S017,2024-05-10,4,11.7,Gaming Console,HD
S057439,U1289,M197,2024-02-09,32,20.5,Tablet,SD
S057457,U1290,S073,2024-07-15,9,18.2,Smart TV,SD
S057474,U1291,S073,2024-08-12,5,11.8,Mobile,4K
S057497,U1291,M004,2024-06-07,15,10.6,Tablet,HD
S057531,U1292,M166,2024-08-12,28,18.5,Smart TV,SD
S057534,U1292,M078,2024-08-28,19,12.5,Mobile,HD
S057564,U1293,M199,2024-07-17,33,18.9,Desktop,HD
S057570,U1293,M171,2024-02-01,31,21.7,Tablet,4K
S057578,U1294,S043,2024-06-29,5,17.1,Tablet,SD
S057588,U1294,S087,2024-07-19,7,12.7,Mobile,SD
S057637,U1296,S037,2024-03-29,5,13.4,Mobile,HD
S057652,U1298,M166,2024-04-11,21,13.7,Tablet,4K
S057654,U1298,S001,2024-07-20,8,16.3,Mobile,HD
S057665,U1298,M015,2024-02-24,34,19.5,Mobile,HD
S057667,U1298,M108,2024-07-19,15,13.7,Smart TV,HD
S057683,U1298,M003,2024-06-17,15,15.2,Tablet,SD
S057718,U1299,M138,2024-02-16,27,18.4,Desktop,4K
S057769,U1300,M135,2024-01-23,30,17.9,Mobile,HD
S057781,U1301,M134,2024-07-18,20,15.1,Smart TV,HD
S057784,U1301,M046,2024-01-24,29,19.8,Tablet,SD
S057789,U1301,M039,2024-02-19,17,16.7,Desktop,HD
S057798,U1301,M084,2024-03-22,15,11.0,Mobile,HD
S057822,U1301,M180,2024-02-25,30,18.2,Smart TV,HD
S057835,U1302,M158,2024-03-02,22,13.3,Gaming Console,HD
S057845,U1302,M116,2024-03-13,13,10.1,Tablet,HD
S057866,U1302,S021,2024-07-02,4,10.9,Desktop,HD
S057868,U1302,M074,2024-01-15,26,17.8,Mobile,HD
S057870,U1302,M073,2024-03-04,26,19.1,Smart TV,HD
S057908,U1303,M186,2024-04-24,27,18.1,Desktop,4K
S057923,U1303,S056,2024-08-14,12,21.3,Smart TV,HD
S057994,U1305,M100,2024-08-10,23,16.1,Mobile,HD
S058099,U1307,M173,2024-05-06,30,18.6,Desktop,4K
S058121,U1307,M102,2024-01-26,15,10.6,Smart TV,4K
S058141,U1307,M011,2024-01-25,13,16.3,Mobile,HD
S058160,U1308,S089,2024-06-19,8,20.0,Mobile,SD
S058162,U1308,M013,2024-05-16,37,21.3,Mobile,SD
S058165,U1308,M015,2024-01-12,36,20.6,Tablet,HD
S058168,U1308,M159,2024-07-29,10,10.8,Mobile,HD
S058179,U1308,M143,2024-01-13,28,18.4,Smart TV,SD
S058182,U1308,M199,2024-03-26,37,21.5,Gaming Console,HD
S058201,U1308,S094,2024-04-09,8,18.5,Desktop,HD
S058238,U1310,M122,2024-06-04,33,21.3,Mobile,4K
S058260,U1310,M106,2024-04-23,10,10.8,Smart TV,HD
S058285,U1311,M101,2024-04-26,28,18.5,Smart TV,SD
S058334,U1313,S049,2024-06-03,6,17.4,Smart TV,4K
S058387,U1315,M033,2024-07-06,17,14.4,Smart TV,HD
S058388,U1315,M013,2024-04-01,29,16.5,Mobile,SD
S058447,U1315,S073,2024-05-13,5,12.0,Mobile,SD
S058519,U1317,M152,2024-01-07,23,15.4,Mobile,4K
S058522,U1317,M173,2024-01-03,33,20.2,Tablet,4K
S058597,U1319,M062,2024-07-26,19,14.6,Mobile,SD
S058619,U1320,M181,2024-03-14,21,16.9,Desktop,HD
S058630,U1320,S053,2024-04-09,7,16.8,Smart TV,HD
S058634,U1320,M087,2024-06-15,27,19.5,Mobile,HD
S058637,U1321,M047,2024-01-27,16,13.6,Smart TV,HD
S058727,U1323,S037,2024-02-24,7,20.0,Mobile,4K
S058745,U1323,S016,2024-06-14,5,10.3,Gaming Console,4K
S058782,U1324,M197,2024-04-23,15,10.1,Tablet,HD
S058805,U1324,M177,2024-04-27,31,18.8,Smart TV,4K
S058810,U1325,M050,2024-03-23,19,20.1,Gaming Console,HD
S058816,U1325,M006,2024-02-07,19,12.6,Smart TV,4K
S058817,U1325,S063,2024-05-19,9,19.2,Gaming Console,SD
S058823,U1325,M030,2024-02-12,27,19.0,Smart TV,4K
S058824,U1325,M055,2024-06-16,26,18.6,Mobile,HD
S058837,U1325,M046,2024-01-15,23,15.7,Mobile,HD
S058867,U1327,S052,2024-04-16,10,19.9,Mobile,4K
S058921,U1327,M070,2024-01-24,26,15.5,Gaming Console,HD
S058936,U1328,S091,2024-01-18,2,10.2,Mobile,HD
S058946,U1328,M152,2024-07-16,28,18.5,Smart TV,4K
S058969,U1328,S017,2024-06-25,5,14.3,Mobile,HD
S058970,U1328,M038,2024-04-07,26,16.4,Gaming Console,SD
S058972,U1328,M070,2024-03-24,30,18.0,Smart TV,HD
S058988,U1329,S084,2024-04-02,8,15.4,Mobile,HD
S059001,U1329,S060,2024-04-22,8,21.5,Desktop,4K
S059002,U1329,M020,2024-06-12,10,10.1,Gaming Console,4K
S059152,U1333,M170,2024-07-24,22,18.0,Mobile,HD
S059155,U1333,S084,2024-05-22,7,14.0,Smart TV,HD
S059157,U1333,M186,2024-01-18,15,10.2,Mobile,HD
S059357,U1338,M072,2024-04-19,19,15.2,Gaming Console,HD
S059367,U1338,M123,2024-03-29,24,21.1,Smart TV,HD
S059387,U1338,S018,2024-01-28,7,20.8,Tablet,HD
S059627,U1343,M092,2024-05-29,18,12.8,Smart TV,4K
S059630,U1343,S066,2024-04-11,4,14.3,Desktop,HD
S059665,U1345,S044,2024-01-12,9,19.7,Smart TV,SD
S059701,U1346,M098,2024-08-06,22,15.7,Mobile,SD
S059724,U1346,M026,2024-01-13,31,19.3,Smart TV,HD
S059851,U1348,M160,2024-02-12,25,15.9,Desktop,HD
S059862,U1348,M018,2024-04-19,11,13.4,Smart TV,HD
S060047,U1352,M186,2024-02-27,16,10.6,Mobile,HD
S060057,U1352,M114,2024-02-28,17,11.4,Smart TV,4K
S060072,U1352,M144,2024-04-10,17,15.4,Smart TV,4K
S060163,U1354,M148,2024-06-04,20,12.8,Tablet,HD
S060261,U1356,S080,2024-03-14,4,14.4,Desktop,4K
S060264,U1356,M155,2024-04-12,21,18.7,Mobile,SD
S060292,U1356,M072,2024-03-17,26,21.2,Mobile,HD
S060329,U1357,M011,2024-05-31,8,10.2,Mobile,HD
S060339,U1357,S052,2024-03-06,6,12.6,Smart TV,HD
S060340,U1357,S019,2024-05-08,6,15.8,Smart TV,4K
S060426,U1359,M161,2024-07-18,10,10.2,Smart TV,HD
S060446,U1360,M036,2024-03-07,16,16.4,Tablet,SD
S060461,U1360,M104,2024-08-28,21,19.5,Smart TV,4K
S060468,U1360,S044,2024-04-14,9,21.0,Smart TV,4K
S060527,U1361,S055,2024-04-08,11,20.0,Mobile,HD
S060546,U1361,M199,2024-05-06,24,13.7,Mobile,HD
S060577,U1363,M121,2024-07-14,32,21.1,Smart TV,HD
S060595,U1363,S047,2024-08-21,9,16.7,Mobile,HD
S060600,U1363,M166,2024-08-22,31,20.2,Gaming Console,HD
S060606,U1364,M108,2024-02-15,19,16.9,Desktop,4K
S060618,U1364,S092,2024-05-13,7,13.4,Tablet,4K
S060620,U1364,M084,2024-07-22,21,15.3,Mobile,HD
S060634,U1364,M161,2024-01-05,16,16.0,Desktop,4K
S060654,U1365,S060,2024-08-17,8,21.2,Desktop,HD
S060672,U1365,M092,2024-01-30,27,18.7,Mobile,4K
S060698,U1365,M107,2024-05-23,17,19.6,Mobile,HD
S060741,U1367,M143,2024-02-22,31,20.9,Gaming Console,HD
S060753,U1367,M088,2024-07-24,17,12.3,Smart TV,SD
S060761,U1367,M146,2024-07-21,15,18.9,Mobile,4K
S060832,U1368,M045,2024-08-06,18,14.7,Smart TV,HD
S060845,U1369,M181,2024-07-16,16,13.4,Desktop,SD
S060854,U1369,M004,2024-05-08,25,17.8,Smart TV,SD
S060858,U1369,M155,2024-07-09,14,12.5,Tablet,4K
S060863,U1369,M010,2024-03-12,31,17.9,Smart TV,HD
S060865,U1369,M078,2024-03-21,30,19.9,Mobile,HD
S060894,U1369,M086,2024-03-25,19,14.9,Mobile,HD
S060914,U1369,M186,2024-03-20,32,20.8,Mobile,HD
S060929,U1370,M087,2024-04-05,18,13.4,Smart TV,HD
S060930,U1370,M198,2024-08-18,14,14.8,Smart TV,HD
S060944,U1370,M030,2024-05-27,17,12.3,Mobile,SD
S060972,U1371,M158,2024-05-10,27,16.0,Mobile,SD
S060995,U1371,M108,2024-01-30,11,10.4,Smart TV,HD
S060996,U1371,S010,2024-02-13,9,18.1,Mobile,4K
S061001,U1371,M140,2024-08-08,21,19.5,Mobile,SD
S061020,U1372,S004,2024-04-15,8,14.8,Smart TV,4K
S061039,U1372,M078,2024-05-30,16,10.6,Smart TV,HD
S061044,U1372,M050,2024-01-27,20,20.9,Smart TV,4K
S061048,U1372,M154,2024-05-14,11,14.1,Smart TV,SD
S061073,U1372,S036,2024-04-28,5,15.4,Smart TV,4K
S061315,U1376,M108,2024-07-25,22,19.8,Tablet,HD
S061351,U1377,S056,2024-01-15,10,18.4,Tablet,HD
S061482,U1380,S018,2024-06-28,8,21.7,Tablet,4K
S061499,U1380,M125,2024-05-14,31,19.2,Smart TV,SD
S061507,U1380,M044,2024-07-26,17,13.2,Mobile,HD
S061511,U1380,S096,2024-08-20,6,10.5,Smart TV,4K
S061512,U1380,S014,2024-03-07,12,20.7,Tablet,SD
S061518,U1380,M156,2024-02-23,31,18.2,Smart TV,4K
S061610,U1382,M032,2024-07-29,22,16.6,Tablet,4K
S061628,U1382,M047,2024-03-09,23,19.4,Desktop,SD
S061659,U1383,S048,2024-08-05,4,14.3,Mobile,HD
S061674,U1383,S037,2024-08-07,7,19.3,Tablet,HD
S061710,U1385,M053,2024-03-15,21,13.5,Desktop,HD
S061716,U1385,S041,2024-06-11,6,19.9,Tablet,HD
S061931,U1390,M015,2024-04-19,24,13.9,Smart TV,HD
S062059,U1392,M070,2024-03-15,31,18.5,Mobile,SD
S062115,U1393,S033,2024-07-12,3,14.0,Tablet,4K
S062119,U1393,M003,2024-02-22,20,20.3,Smart TV,HD
S062123,U1393,M199,2024-03-27,27,15.9,Tablet,HD
S062306,U1396,M001,2024-07-01,21,11.7,Desktop,HD
S062315,U1396,M158,2024-02-27,21,12.3,Mobile,SD
S062319,U1396,S024,2024-08-03,7,15.3,Gaming Console,SD
S062325,U1396,S009,2024-03-21,6,18.2,Mobile,HD
S062405,U1398,S052,2024-07-16,11,20.5,Tablet,SD
S062420,U1398,S007,2024-08-27,9,16.5,Smart TV,SD
S062422,U1399,M003,2024-06-03,14,13.8,Smart TV,SD
S062455,U1399,M134,2024-01-06,25,19.2,Tablet,HD
S062493,U1400,M096,2024-01-24,15,18.3,Mobile,HD
S062495,U1400,M175,2024-07-31,17,12.6,Tablet,HD
S062521,U1400,M199,2024-01-11,28,16.1,Smart TV,4K
S062668,U1403,M168,2024-04-16,25,18.0,Gaming Console,4K
S062669,U1403,S084,2024-01-31,7,14.4,Tablet,4K
S062688,U1403,M189,2024-01-01,9,11.1,Desktop,4K
S062689,U1403,M169,2024-07-30,19,12.2,Smart TV,4K
S062705,U1403,M154,2024-08-10,14,18.4,Mobile,HD
S062829,U1405,M029,2024-06-24,13,11.1,Smart TV,HD
S062847,U1406,M125,2024-06-26,16,10.3,Smart TV,HD
S062853,U1406,M165,2024-06-20,27,18.0,Mobile,HD
S062882,U1408,S029,2024-06-12,6,16.1,Mobile,HD
S062895,U1408,M115,2024-02-28,13,16.8,Smart TV,HD
S062985,U1412,M108,2024-05-07,16,14.8,Smart TV,HD
S063095,U1414,M159,2024-05-30,17,18.3,Smart TV,4K
S063132,U1415,M015,2024-07-15,24,13.9,Desktop,HD
S063144,U1415,M013,2024-01-02,30,16.9,Smart TV,HD
S063149,U1416,M187,2024-07-21,21,13.9,Mobile,HD
S063154,U1416,M089,2024-01-31,16,15.4,Mobile,HD
S063155,U1416,M081,2024-02-26,33,21.0,Smart TV,HD
S063160,U1416,M091,2024-01-17,23,19.2,Desktop,HD
S063170,U1416,S045,2024-02-11,3,16.3,Desktop,HD
S063178,U1416,M158,2024-06-06,17,10.3,Smart TV,4K
S063210,U1418,S004,2024-04-02,8,15.0,Tablet,HD
S063309,U1421,S044,2024-01-20,9,20.5,Mobile,4K
S063311,U1421,M019,2024-05-31,9,11.8,Smart TV,SD
S063406,U1425,M155,2024-07-08,23,20.2,Smart TV,HD
S063416,U1425,S099,2024-06-29,8,21.0,Desktop,4K
S063419,U1425,M146,2024-04-01,16,20.7,Mobile,HD
S063442,U1426,M117,2024-06-29,31,18.6,Desktop,4K
S063445,U1426,M154,2024-08-23,8,10.2,Smart TV,HD
S063494,U1427,S043,2024-08-31,7,21.3,Gaming Console,HD
S063496,U1427,M149,2024-05-14,12,10.5,Mobile,SD
S063498,U1427,M089,2024-06-25,16,15.5,Gaming Console,HD
S063514,U1427,M127,2024-01-18,34,19.4,Desktop,HD
S063516,U1427,S049,2024-08-22,6,17.6,Smart TV,HD
S063519,U1427,M105,2024-03-13,10,10.5,Smart TV,4K
S063592,U1430,M151,2024-06-18,23,15.9,Desktop,SD
S063607,U1430,M040,2024-02-11,25,15.0,Gaming Console,HD
S063624,U1430,S054,2024-06-03,11,20.1,Smart TV,SD
S063632,U1431,S020,2024-03-23,5,16.5,Smart TV,HD
S063655,U1431,M036,2024-08-22,10,10.2,Smart TV,HD
S063704,U1432,M116,2024-06-06,28,21.2,Smart TV,4K
S063734,U1433,M050,2024-05-14,13,13.8,Mobile,4K
S063737,U1433,M036,2024-08-04,20,20.2,Mobile,HD
S063753,U1433,M002,2024-01-29,20,13.9,Mobile,HD
S063754,U1433,S062,2024-02-08,9,17.1,Smart TV,SD
S063776,U1434,M117,2024-07-06,31,18.8,Gaming Console,HD
S063781,U1434,S052,2024-06-13,11,21.7,Desktop,4K
S063823,U1435,M109,2024-01-10,24,17.1,Mobile,SD
S063840,U1435,M036,2024-06-03,21,21.1,Smart TV,SD
S063843,U1435,M091,2024-04-11,21,17.3,Tablet,HD
S063871,U1435,M030,2024-02-25,19,13.6,Mobile,HD
S063899,U1436,S029,2024-02-23,5,13.7,Mobile,HD
S063908,U1436,M032,2024-07-28,26,20.3,Mobile,SD
S063957,U1436,S015,2024-06-27,3,13.1,Mobile,HD
S063970,U1437,M197,2024-04-12,17,10.8,Desktop,SD
S063979,U1437,M114,2024-04-10,23,15.2,Smart TV,HD
S063998,U1437,S100,2024-01-08,4,11.2,Tablet,4K
S064000,U1437,M028,2024-01-12,20,11.7,Gaming Console,4K
S064109,U1439,S068,2024-03-20,4,16.6,Mobile,SD
S064114,U1439,M033,2024-06-21,25,21.4,Smart TV,4K
S064121,U1439,M080,2024-05-20,21,21.5,Mobile,SD
S064133,U1439,M149,2024-05-27,16,13.7,Mobile,SD
S064135,U1439,M016,2024-07-19,9,10.1,Gaming Console,HD
S064151,U1440,M080,2024-08-12,20,20.5,Tablet,4K
S064171,U1440,M001,2024-07-19,24,13.6,Smart TV,HD
S064175,U1440,M144,2024-01-17,21,19.7,Mobile,HD
S064413,U1445,M117,2024-07-01,34,20.3,Tablet,SD
S064417,U1446,M156,2024-04-09,20,11.6,Smart TV,HD
S064421,U1446,S066,2024-05-29,5,16.9,Mobile,HD
S064610,U1450,M151,2024-06-25,22,15.0,Mobile,HD
S064625,U1450,M163,2024-05-25,12,14.4,Mobile,HD
S064632,U1450,M124,2024-02-05,29,19.5,Smart TV,SD
S064649,U1450,M170,2024-02-06,24,19.7,Tablet,4K
S064656,U1451,M065,2024-06-29,18,18.2,Mobile,SD
S064675,U1451,M185,2024-04-26,15,10.8,Tablet,4K
S064757,U1453,S052,2024-01-31,7,14.2,Tablet,4K
S064759,U1453,M160,2024-08-19,18,11.8,Mobile,HD
S064788,U1454,M124,2024-08-26,27,18.5,Mobile,SD
S064798,U1454,M004,2024-06-27,22,15.6,Smart TV,HD
S064808,U1454,M163,2024-02-09,17,21.4,Mobile,SD
S064809,U1454,M131,2024-03-18,19,10.8,Smart TV,HD
S064831,U1454,M083,2024-08-19,15,13.0,Smart TV,HD
S064844,U1455,S022,2024-08-02,4,13.4,Tablet,SD
S064847,U1455,M142,2024-04-10,31,18.4,Mobile,4K
S064862,U1455,S009,2024-06-29,6,18.1,Mobile,SD
S064874,U1455,S024,2024-01-17,5,10.8,Mobile,SD
S064875,U1455,M160,2024-04-16,32,20.3,Tablet,HD
S064878,U1455,M165,2024-06-09,29,19.1,Mobile,HD
S064881,U1455,M184,2024-01-13,14,17.6,Smart TV,HD
S064882,U1455,M116,2024-08-27,24,17.7,Mobile,4K
S064899,U1456,S017,2024-02-09,5,13.8,Smart TV,HD
S064909,U1456,M070,2024-04-05,35,20.7,Mobile,HD
S065328,U1463,S080,2024-08-25,7,20.8,Desktop,4K
S065351,U1463,M121,2024-05-01,33,21.7,Tablet,4K
S065565,U1467,M040,2024-04-11,36,21.6,Desktop,HD
S065567,U1467,S047,2024-07-25,6,11.4,Smart TV,SD
S065583,U1468,M166,2024-07-05,17,11.2,Mobile,SD
S065585,U1468,M011,2024-06-13,9,12.3,Smart TV,SD
S065587,U1468,S097,2024-04-02,4,10.4,Gaming Console,4K
S065626,U1468,M180,2024-03-31,24,14.8,Mobile,HD
S065636,U1468,M150,2024-08-06,20,16.9,Tablet,HD
S065663,U1469,M161,2024-08-29,21,20.7,Smart TV,HD
S065668,U1469,M135,2024-08-29,20,12.1,Mobile,HD
S065677,U1469,S010,2024-05-26,6,13.1,Desktop,HD
S065938,U1474,M122,2024-08-14,33,21.4,Mobile,HD
S065965,U1474,M098,2024-08-18,30,21.5,Desktop,4K
S065984,U1475,M107,2024-02-25,14,15.6,Mobile,SD
S066014,U1477,M136,2024-03-27,19,19.0,Smart TV,4K
S066769,U1493,S047,2024-01-26,10,17.5,Smart TV,HD
S066780,U1493,M199,2024-08-17,33,19.2,Tablet,HD
S066782,U1493,S044,2024-01-04,5,10.9,Desktop,HD
S066824,U1494,M166,2024-06-29,32,20.7,Smart TV,4K
S066828,U1494,S049,2024-05-11,7,19.5,Gaming Console,4K
S066839,U1494,M174,2024-01-26,14,17.6,Mobile,SD
S067006,U1498,M171,2024-02-09,24,16.7,Mobile,HD
S067011,U1498,M057,2024-04-04,26,17.5,Smart TV,4K
S067023,U1498,M032,2024-07-30,24,18.4,Tablet,HD
S067033,U1499,S044,2024-01-25,6,14.6,Mobile,HD
S067034,U1499,M020,2024-05-17,13,12.3,Mobile,SD
S067120,U1500,M102,2024-04-11,30,21.0,Tablet,SD
S067127,U1500,M087,2024-08-11,29,21.4,Mobile,SD
S067150,U1501,M163,2024-06-30,15,18.2,Tablet,4K
S067357,U1504,M189,2024-06-17,16,18.4,Mobile,HD
S067367,U1504,M038,2024-05-14,20,12.6,Tablet,4K
S067391,U1504,M056,2024-07-25,16,18.5,Gaming Console,SD
S067398,U1504,S020,2024-05-14,3,10.4,Tablet,SD
S067505,U1506,M185,2024-05-09,31,21.6,Tablet,HD
S067513,U1506,M110,2024-08-06,16,12.9,Desktop,4K
S067534,U1506,M169,2024-05-06,20,13.4,Mobile,SD
S067546,U1506,S047,2024-08-13,9,16.9,Smart TV,SD
S067613,U1508,M080,2024-01-11,17,18.1,Mobile,HD
S067689,U1510,M074,2024-06-16,21,14.5,Mobile,SD
S067709,U1511,M026,2024-06-02,26,16.4,Mobile,4K
S068010,U1516,M159,2024-02-07,18,19.0,Desktop,SD
S068169,U1519,S060,2024-04-23,4,10.0,Smart TV,HD
S068208,U1520,M199,2024-02-06,23,13.4,Mobile,HD
S068212,U1520,S060,2024-02-24,6,16.4,Smart TV,4K
